年次,漁業産出額,計（海面）,漁業（海面）,捕鯨業,養殖業（海面）,計（内水面）,漁業（内水面）,養殖業（内水面）,生産漁業所得,海面養殖業,内水面養殖業
昭.35(1960),366336,353553,321690,23419,31863,12783,8038,4745,160815,1902,未計測
昭.36(1961),419646,404044,360733,26697,43311,15602,9250,6352,201879,2227,未計測
昭.37(1962),449780,433606,383536,26875,50070,16174,9350,6824,265315,3709,未計測
昭.38(1963),509974,490784,429702,30884,61082,19190,9803,9387,320145,3913,未計測
昭.39(1964),525825,504525,436203,32306,68322,21300,10151,11149,335403,4087,未計測
昭.40(1965),587978,565372,489228,37610,76144,22606,10049,12557,291557,5460,未計測
昭.41(1966),649900,621767,529415,28962,92352,28133,11753,16380,315863,5034,未計測
昭.42(1967),724086,696570,592967,25227,103603,27516,10879,16637,382816,3768,未計測
昭.43(1968),765922,731844,633370,23672,98474,34078,11942,22136,386063,2498,未計測
昭.44(1969),867921,825010,714914,22107,110096,42911,14419,28492,481852,2948,未計測
昭.45(1970),993260,944529,812344,27195,132185,48731,17019,31712,575930,3091,未計測
昭.46(1971),1117114,1060820,927102,31374,133718,56294,21371,34923,663253,3665,未計測
昭.47(1972),1201912,1134734,969453,27771,165281,67178,23079,44099,682519,5495,未計測
昭.48(1973),1485390,1402782,1183707,27331,219075,82608,29848,52760,869838,6071,未計測
昭.49(1974),1735988,1638977,1411628,32725,227349,97011,34843,62168,983723,5145,未計測
昭.50(1975),1914271,1801282,1554067,33722,247215,112989,41704,71285,1074911,6397,未計測
昭.51(1976),2200097,2077536,1791832,21589,285704,122561,41479,81082,1218984,7639,未計測
昭.52(1977),2557101,2415488,2071877,20552,343611,141613,48627,92986,1423362,8545,未計測
昭.53(1978),2454876,2296427,1903815,12409,392612,158449,50827,107622,1257605,8709,未計測
昭.54(1979),2647400,2478280,2066640,10704,411640,169120,52705,116415,1305954,11252,未計測
昭.55(1980),2764596,2595788,2146232,12605,449556,168808,57822,110986,1321313,19182,未計測
昭.56(1981),2770451,2601487,2163586,11128,437901,168964,62533,106431,1245026,18615,未計測
昭.57(1982),2957730,2762109,2326033,13172,436076,195621,70871,124750,1318792,19481,未計測
昭.58(1983),2897583,2718272,2218453,13161,499819,179311,62360,116951,1274667,18808,未計測
昭.59(1984),2922413,2738452,2245538,13924,492914,183961,60680,123281,1274915,24241,未計測
昭.60(1985),2874089,2697941,2203380,11476,494561,176148,60774,115374,1165024,27938,未計測
昭.61(1986),2706930,2532481,2047986,12263,484495,174449,61439,113010,1074936,23516,未計測
昭.62(1987),2578358,2408100,1938180,12927,469920,170258,62265,107993,1013391,22262,未計測
昭.63(1988),2687298,2523987,1966893,478,557094,163311,62363,100948,1040724,25977,未計測
平.元(1989),2665159,2494161,1954621,464,539540,170998,64744,106254,1067004,27126,未計測
平.2(1990),2689344,2527234,1951073,489,576161,162110,65042,97068,991421,33186,未計測
平.3(1991),2677565,2513906,1908146,566,605760,163659,67977,95682,1026219,34946,未計測
